Id,Predicted
10003_age,53.469342367989675
10003_domain1_var1,53.07315935407366
10003_domain1_var2,58.45890263148716
10003_domain2_var1,48.65492248535156
10003_domain2_var2,52.60820443289621
10006_age,58.577541896275115
10006_domain1_var1,54.06905147007534
10006_domain1_var2,58.524288177490234
10006_domain2_var1,49.88297980172293
10006_domain2_var2,50.49451119559152
10010_age,39.79937580653599
10010_domain1_var1,48.3886707850865
10010_domain1_var2,59.3739858354841
10010_domain2_var1,43.753301348005024
10010_domain2_var2,51.92835399082729
10011_age,51.047484806605745
10011_domain1_var1,53.6235237121582
10011_domain1_var2,60.0960317339216
10011_domain2_var1,49.54424830845424
10011_domain2_var2,53.213174547467915
10012_age,52.364595140729634
10012_domain1_var1,52.699214935302734
10012_domain1_var2,58.21827697753906
10012_domain2_var1,48.762559618268696
10012_domain2_var2,53.23912593296596
10013_age,48.94466618129185
10013_domain1_var1,51.46695000784738
10013_domain1_var2,59.159476143973215
10013_domain2_var1,47.99702017647879
10013_domain2_var2,53.07126072474888
10014_age,49.12576511928013
10014_domain1_var1,52.21970803397043
10014_domain1_var2,59.330933162144255
10014_domain2_var1,47.92220033918108
10014_domain2_var2,51.64482988630022
10016_age,51.60277829851423
10016_domain1_var1,53.72643280029297
10016_domain1_var2,60.256578172956196
10016_domain2_var1,49.844369070870535
10016_domain2_var2,53.61628777640207
10018_age,44.31236321585519
10018_domain1_var1,50.311422620500835
10018_domain1_var2,59.24546377999442
10018_domain2_var1,46.019881112234934
10018_domain2_var2,52.144915444510325
10020_age,63.60389927455357
10020_domain1_var1,56.21567153930664
10020_domain1_var2,59.55440303257534
10020_domain2_var1,51.14730616978237
10020_domain2_var2,50.26684079851423
10021_age,53.35386766706194
10021_domain1_var1,52.22642571585519
10021_domain1_var2,58.41222109113421
10021_domain2_var1,47.29600851876395
10021_domain2_var2,48.944811139787944
10022_age,51.018541063581196
10022_domain1_var1,53.39685331072126
10022_domain1_var2,60.38949040004185
10022_domain2_var1,49.35331780569894
10022_domain2_var2,53.50068065098354
10023_age,36.11434718540737
10023_domain1_var1,46.48623439243862
10023_domain1_var2,59.22501264299665
10023_domain2_var1,42.79378073556082
10023_domain2_var2,52.91332081386021
10024_age,33.222267150878906
10024_domain1_var1,45.27083805629185
10024_domain1_var2,59.40060806274414
10024_domain2_var1,42.2636958530971
10024_domain2_var2,53.94131197248186
10027_age,45.03211212158203
10027_domain1_var1,51.422530038016184
10027_domain1_var2,59.62780107770647
10027_domain2_var1,46.11834989275251
10027_domain2_var2,51.71918160574777
10028_age,57.05449785505022
10028_domain1_var1,53.14326913016183
10028_domain1_var2,57.85322570800781
