Id,prob_site2,is_site2,is_site2_true
10001,0.23430040009752734,False,0
10002,0.25666209062996576,False,0
10004,0.34069315517011334,False,0
10005,0.3347731116799995,False,0
10007,0.32697156177003395,False,0
10008,0.3326397624627881,False,0
10009,0.34444154443275005,False,0
10015,0.32502115582041846,False,0
10017,0.25614752924822587,False,0
10019,0.3213077447129644,False,0
10025,0.36140520244298846,True,0
10026,0.34103501712898454,False,0
10031,0.33709735066613755,False,0
10032,0.3328020069445947,False,0
10039,0.3343264909182229,False,0
10040,0.34206106724119856,False,0
10041,0.487839569703764,True,0
10042,0.3252324564032888,False,0
10044,0.48843036890264263,True,0
10046,0.488072379256173,True,0
10049,0.3193182759707102,False,0
10051,0.35130603323514137,False,0
10054,0.34981744305592727,False,0
10056,0.25391168053997115,False,0
10058,0.24798329098978988,False,0
10061,0.3536969014545241,False,0
10063,0.2512216566640115,False,0
10064,0.2578435997713539,False,0
10065,0.3381140927027018,False,0
10068,0.3356984133840299,False,0
10071,0.489473568337649,True,0
10072,0.3222174998176529,False,0
10073,0.2569000535760287,False,0
10074,0.48960861656263455,True,0
10075,0.3560350855412225,True,0
10076,0.33973018034600294,False,0
10078,0.247749632345901,False,0
10080,0.3535786847936204,False,0
10081,0.34775993967616037,False,0
10082,0.48823260072298214,True,0
10084,0.4863207224790513,True,0
10086,0.33857461632192193,False,0
10088,0.3455559884513476,False,0
10089,0.4881979727644319,True,0
10090,0.35088904171566865,False,0
10092,0.24456321123384933,False,0
10094,0.2517097322816945,False,0
10097,0.35806515058012617,True,0
10098,0.34280811727081983,False,0
10105,0.35956047936455793,True,0
10111,0.2689073742793891,False,0
10113,0.33879080212866064,False,0
10114,0.3309594933408568,False,0
10115,0.32616707772787545,False,0
10118,0.3530781149452926,False,0
10120,0.3420980890028006,False,0
10121,0.3576918351262686,True,0
10122,0.2436255257440487,False,0
10123,0.33937428028496697,False,0
10124,0.34244009340183523,False,0
10127,0.3466297123598793,False,0
10128,0.3515283149299083,False,0
10129,0.4875785884652015,True,0
10132,0.3690329090890983,True,0
10134,0.35233231651192876,False,0
10136,0.3426337747117446,False,0
10138,0.3381871895994831,False,0
10139,0.27328301151106926,False,0
10140,0.35017858556449805,False,0
10142,0.32509666307481155,False,0
10143,0.4864152153909618,True,0
10148,0.2477869432539415,False,0
10149,0.24534322765318745,False,0
10150,0.3541559592305165,False,0
10151,0.35260042456190094,False,0
10153,0.3324619971091667,False,0
10154,0.24841408904283316,False,0
10155,0.33564733007523273,False,0
10157,0.3411096873256652,False,0
10160,0.3401126186374985,False,0
10161,0.48995118825608935,True,0
10163,0.3532737515458539,False,0
10164,0.3398044916626156,False,0
10166,0.25292451079800565,False,0
10167,0.48936088269350664,True,0
10170,0.3473252982809826,False,0
10171,0.24771395831774676,False,0
10172,0.32860951935742216,False,0
10174,0.3297639498138333,False,0
10175,0.2418045995012811,False,0
10179,0.34878570061861597,False,0
10180,0.25043984859614987,False,0
10181,0.362544713874636,True,0
10182,0.34863228385405,False,0
10184,0.4868885182331485,True,0
10185,0.25589706713245713,False,0
10186,0.35238487829186027,False,0
10187,0.27221568712907906,False,0
10188,0.2646775507432417,False,0
10189,0.34651424735171854,False,0
10191,0.3341272418498788,False,0
10192,0.3380290376880471,False,0
10193,0.4877416237031168,True,0
10194,0.3403667058402702,False,0
10196,0.4860774124007627,True,0
10197,0.3418541167517441,False,0
10198,0.34533761105424254,False,0
10201,0.2512381004728837,False,0
10202,0.34595032743207554,False,0
10203,0.3539195925791604,False,0
10204,0.48580739611753904,True,0
10206,0.34286664643780485,False,0
10208,0.33528299260320504,False,0
10209,0.2467460620725581,False,0
10210,0.48707749669955686,True,0
10213,0.3395426054093486,False,0
10215,0.3236993830795018,False,0
10216,0.48559206770521735,True,0
10217,0.3262458875298655,False,0
10218,0.33975467171841467,False,0
10219,0.336321350522141,False,0
10220,0.3583612099256084,True,0
10222,0.34853204013829975,False,0
10223,0.3338801406025122,False,0
10225,0.4888845731321362,True,0
10226,0.25415149735024456,False,0
10227,0.330819946137743,False,0
10229,0.3331533856949008,False,0
10230,0.24702597008244495,False,0
10231,0.3373395991619602,False,0
10232,0.48659716176627743,True,0
10234,0.4882371513728746,True,0
10236,0.33035758909647617,False,0
10237,0.3420130926012233,False,0
10240,0.3418653484377543,False,0
10242,0.24393046912547842,False,0
10243,0.33726417472885295,False,0
10245,0.2501129014195461,False,0
10250,0.4854656633732238,True,0
10253,0.36306192762958955,True,0
10255,0.34077857902345854,False,0
10257,0.3492496736665155,False,0
10260,0.3539617657057431,False,0
10263,0.34395031078595245,False,0
10267,0.3568812978800495,True,0
10269,0.3557854124067611,True,0
10271,0.33547697816388217,False,0
10272,0.3424677116677568,False,0
10273,0.33440198610302235,False,0
10275,0.4863400951654617,True,0
10277,0.24452038575542553,False,0
10278,0.3506526009387611,False,0
10279,0.35324436777612517,False,0
10284,0.3391766033410285,False,0
10289,0.34143789320074536,False,0
10290,0.33349010000455487,False,0
10291,0.3521906214512662,False,0
10292,0.33683816158938745,False,0
10296,0.4886120405015152,True,0
10297,0.34391989538542056,False,0
10299,0.24827935905093337,False,0
10301,0.3336858636322701,False,0
10302,0.4864637869465002,True,0
10304,0.25337841462611993,False,0
